Field_ID,Soil_pH,Moisture_Percent,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_Percent,Previous_Yield_ton_per_ha
FLD-0507,7.71,17.3,50.9,27.1,273.9,0.8,3.58
FLD-0358,6.99,25.8,81.0,54.1,213.7,1.44,6.31
FLD-0134,5.58,34.7,54.2,25.9,160.6,0.51,3.15
FLD-0251,6.43,22.0,73.7,44.6,224.8,1.33,6.74
FLD-0300,6.88,24.3,85.3,53.2,190.5,0.89,6.65
FLD-0681,6.2,47.1,105.4,72.6,201.7,1.85,6.56
FLD-0337,6.64,24.6,69.5,34.9,207.7,1.28,6.47
FLD-0156,5.34,26.5,28.7,27.9,145.0,0.61,3.2
FLD-0529,7.55,15.5,44.5,23.6,244.1,0.45,3.59
FLD-0737,6.16,42.3,108.3,57.7,168.3,1.87,6.76
FLD-0098,5.4,33.6,46.0,31.5,140.6,0.64,2.94
FLD-0307,7.41,25.3,73.2,43.8,188.0,1.39,5.6
FLD-0282,6.63,22.6,85.4,46.6,199.5,1.24,6.73
FLD-0747,6.53,39.3,111.1,65.3,180.9,1.73,7.3
FLD-0212,6.24,22.7,92.6,50.7,215.1,1.24,5.98
FLD-0267,7.05,27.3,81.3,48.9,201.2,1.34,5.6
FLD-0040,6.04,36.0,44.1,19.4,130.0,0.93,3.34
FLD-0248,6.66,23.7,78.8,46.7,179.0,1.13,6.3
FLD-0363,6.6,27.3,72.1,38.3,216.1,1.33,6.06
FLD-0539,8.01,17.4,60.4,35.5,237.1,0.37,4.23
FLD-0458,7.63,14.2,62.3,29.2,264.9,0.69,3.81
FLD-0500,7.82,20.6,52.7,37.0,264.4,0.57,4.33
FLD-0423,7.15,12.7,57.2,31.7,248.3,0.96,3.3
FLD-0320,7.09,21.0,70.6,47.8,203.4,1.06,5.63
FLD-0067,5.0,24.4,32.1,21.2,144.7,1.07,3.81
FLD-0709,6.17,31.2,107.9,57.6,168.1,1.89,7.24
FLD-0249,6.27,23.4,72.4,48.7,198.0,1.49,6.08
FLD-0329,7.37,21.6,74.9,46.2,196.2,1.06,4.28
FLD-0219,6.99,23.5,61.9,51.7,215.0,1.28,6.34
FLD-0221,6.58,26.7,80.9,47.4,229.5,1.18,4.82
FLD-0353,6.45,21.5,75.5,55.9,216.9,1.22,5.55
FLD-0469,8.02,9.2,46.9,28.6,276.4,0.75,3.69
FLD-0454,7.94,19.1,53.3,35.7,213.3,0.77,4.1
FLD-0343,6.4,20.3,75.5,46.9,193.4,1.33,5.55
FLD-0370,6.75,25.5,87.0,48.5,230.4,1.28,6.14
FLD-0079,5.51,27.8,46.7,28.0,156.9,0.82,3.36
FLD-0211,6.68,27.6,78.9,34.4,201.6,1.19,6.95
FLD-0433,7.7,16.0,58.9,22.9,229.9,0.66,3.95
FLD-0082,5.27,32.8,42.5,15.3,148.8,0.77,2.71
FLD-0413,7.75,17.0,57.1,31.8,237.9,0.55,3.55
FLD-0078,5.23,25.6,34.4,25.5,146.8,0.67,3.11
FLD-0678,6.14,37.1,102.1,62.4,178.6,1.75,7.24
FLD-0034,5.28,32.0,50.6,19.6,138.2,0.33,3.11
FLD-0121,5.98,31.1,55.0,23.4,152.4,0.79,4.95
FLD-0689,6.68,37.5,107.6,54.7,171.5,1.66,7.91
FLD-0571,6.23,34.7,100.6,58.9,190.8,1.66,7.66
FLD-0582,6.13,37.7,85.3,61.7,177.2,1.75,7.88
FLD-0498,7.76,14.4,60.1,36.8,268.6,0.77,4.59
FLD-0395,7.96,18.8,47.4,21.3,235.4,0.77,3.7
FLD-0441,7.62,12.5,54.8,27.9,236.5,0.74,3.36
FLD-0011,5.09,27.4,33.6,27.0,152.6,0.84,2.97
FLD-0501,7.68,20.2,58.1,23.9,247.9,0.91,3.9
FLD-0369,6.42,20.9,89.1,56.2,187.2,1.39,5.75
FLD-0325,6.13,22.5,82.3,41.5,216.4,1.38,5.87
FLD-0468,7.52,19.5,50.4,29.9,238.2,0.26,3.38
FLD-0110,5.63,32.1,26.7,24.5,140.0,0.49,4.12
FLD-0543,7.34,15.5,39.7,24.7,260.1,0.6,3.82
FLD-0077,5.32,32.4,28.5,27.8,140.3,0.93,1.88
FLD-0491,7.3,20.5,50.3,31.6,222.0,0.7,3.64
FLD-0055,5.9,29.5,41.9,31.9,121.2,0.49,2.32
FLD-0255,6.34,28.7,85.5,48.6,161.1,1.04,6.18
FLD-0205,6.83,26.4,76.8,42.4,189.4,0.93,5.93
FLD-0717,5.75,43.4,105.8,60.5,163.2,1.69,6.45
FLD-0708,6.39,41.6,96.4,62.5,147.2,1.98,8.24
FLD-0260,6.65,24.5,75.3,52.0,221.8,1.31,5.66
FLD-0228,6.52,19.6,67.7,47.0,191.9,1.29,6.05
FLD-0291,7.02,22.4,84.3,45.6,207.0,1.35,5.55
FLD-0066,5.49,34.4,34.2,26.0,149.5,0.78,2.74
FLD-0429,7.41,23.5,59.6,29.0,267.5,0.73,5.08
FLD-0650,5.88,39.8,103.2,46.8,202.4,1.8,6.65
FLD-0427,7.7,16.8,42.4,28.3,248.8,0.9,4.12
FLD-0440,7.97,20.1,46.1,30.9,213.9,0.38,4.58
FLD-0261,6.06,26.5,88.8,51.9,189.2,1.34,6.27
FLD-0606,6.32,38.7,104.8,62.5,191.5,1.79,6.63
FLD-0741,5.96,37.7,102.5,80.0,160.6,1.82,7.44
FLD-0424,7.74,17.0,47.1,31.2,216.2,0.86,3.63
FLD-0486,7.92,13.1,50.9,19.9,236.1,0.68,4.45
FLD-0073,4.62,29.3,60.4,26.6,139.9,0.8,2.34
FLD-0214,6.64,22.0,70.4,45.9,185.1,1.28,5.17
FLD-0372,6.73,17.9,87.3,44.7,230.4,1.2,5.91
FLD-0240,6.78,23.3,66.1,53.9,211.6,1.09,5.65
FLD-0064,5.54,32.2,51.6,21.9,123.4,0.91,3.02
FLD-0642,5.86,39.4,100.4,73.6,163.7,1.65,6.57
FLD-0600,5.87,42.1,96.3,64.7,150.5,1.41,7.28
FLD-0050,5.57,36.2,24.5,20.5,160.6,0.44,4.01
FLD-0356,6.62,24.3,85.8,56.3,205.0,1.37,5.41
FLD-0710,6.01,35.9,104.0,60.5,160.0,1.72,7.29
FLD-0495,7.69,18.5,53.8,22.5,221.3,0.36,4.27
FLD-0669,6.26,40.6,95.5,56.4,209.1,1.8,6.76
FLD-0008,5.47,31.9,46.1,15.3,144.2,0.64,2.85
FLD-0552,7.75,14.7,56.2,23.7,257.9,0.4,4.9
FLD-0024,5.25,37.8,34.4,29.0,133.7,0.89,3.41
FLD-0631,6.55,37.6,109.0,58.5,177.0,1.62,7.78
FLD-0746,5.95,35.5,112.6,68.3,190.8,1.95,6.01
FLD-0102,5.61,30.3,46.2,23.9,162.6,0.53,3.19
FLD-0334,6.22,24.8,78.7,45.1,206.5,1.72,6.26
FLD-0494,7.95,22.2,58.8,39.8,229.8,0.65,3.48
FLD-0287,6.77,24.8,67.8,54.7,203.3,1.02,6.45
FLD-0119,5.46,30.6,50.7,8.0,157.1,1.0,2.58
FLD-0175,5.12,35.2,40.6,31.7,157.4,0.86,2.7
FLD-0087,5.81,29.0,35.9,27.2,163.7,0.8,2.27
FLD-0704,6.38,38.6,92.5,54.5,200.2,2.0,7.28
FLD-0003,5.58,28.3,44.0,18.2,165.8,0.71,3.1
FLD-0728,6.72,39.0,106.8,55.0,180.0,1.87,6.96
FLD-0159,5.07,28.5,51.4,29.0,176.8,0.67,2.57
FLD-0031,5.71,26.8,41.2,21.1,144.1,0.9,3.5
FLD-0623,5.86,35.6,109.8,60.8,171.9,2.13,7.29
FLD-0697,5.77,34.2,94.7,60.3,196.9,1.88,7.39
FLD-0447,7.94,17.7,54.9,34.3,244.2,0.68,3.6
FLD-0165,5.74,34.3,42.5,29.8,154.9,0.62,3.58
FLD-0656,6.28,39.6,115.0,52.8,171.7,1.93,7.95
FLD-0514,8.13,21.8,56.6,28.7,289.9,0.53,3.69
FLD-0182,6.84,26.1,83.7,57.2,231.1,1.15,6.01
FLD-0573,6.55,37.0,100.5,65.8,164.9,1.99,7.3
FLD-0406,7.72,17.8,54.8,38.2,246.4,0.58,4.6
FLD-0621,5.58,41.6,102.4,60.1,169.9,1.84,6.61
