Household_ID,Average_Daily_Usage_kWh,Peak_Hour_Usage_Percent,Night_Usage_Percent,Weekend_to_Weekday_Ratio,Maximum_Demand_kW,Monthly_Bill_INR,Power_Cut_Complaints_Per_Year
HH-0457,12.76,56.8,18.1,1.03,4.21,2152.0,2
HH-0056,6.96,30.5,19.7,1.09,1.63,940.0,2
HH-0873,32.62,37.5,24.7,1.19,8.38,4485.0,4
HH-0880,33.67,47.3,27.6,1.29,8.85,5208.0,0
HH-0865,32.28,49.9,23.8,1.13,9.12,4629.0,4
HH-0379,14.37,50.9,15.6,1.15,4.77,2139.0,1
HH-0076,6.87,31.1,13.7,1.11,3.37,735.0,1
HH-0396,12.9,51.3,15.6,1.03,4.13,1697.0,1
HH-0891,24.47,42.7,23.5,1.16,7.87,4110.0,3
HH-0849,28.24,48.1,21.6,1.21,9.13,4386.0,2
HH-0839,31.84,39.0,21.9,1.08,8.5,4889.0,2
HH-0415,15.24,51.1,13.7,1.06,3.8,2301.0,1
HH-0152,5.41,31.2,16.8,0.94,1.37,952.0,0
HH-0369,14.4,54.4,11.8,1.18,4.66,2248.0,3
HH-0285,14.41,52.0,16.7,1.13,4.46,2058.0,2
HH-0686,30.85,45.8,26.6,1.15,9.44,4570.0,3
HH-0161,5.64,32.6,17.6,1.2,1.15,409.0,1
HH-0509,20.48,29.6,36.6,0.91,5.76,2939.0,1
HH-0831,30.48,47.8,24.6,1.17,8.69,4528.0,0
HH-0137,6.7,28.2,14.4,0.99,1.73,1028.0,0
HH-0822,29.99,53.4,31.7,1.2,8.15,4862.0,2
HH-0236,16.16,48.8,11.9,1.23,3.83,2289.0,3
HH-0820,27.8,42.2,27.9,1.19,7.95,4589.0,2
HH-0229,14.39,49.5,14.9,1.02,3.21,2019.0,1
HH-0061,7.8,30.8,17.1,1.13,1.92,1058.0,1
HH-0243,14.18,49.5,16.0,1.1,4.18,2074.0,3
HH-0881,29.69,52.3,29.5,1.33,8.1,4745.0,3
HH-0814,30.65,51.8,25.9,1.14,7.64,4624.0,2
HH-0829,23.69,45.6,24.5,1.24,7.4,3767.0,1
HH-0646,22.44,37.3,40.3,0.91,5.73,3133.0,1
HH-0371,14.45,53.6,13.7,1.14,3.11,2194.0,0
HH-0826,26.78,44.3,30.4,1.14,8.04,4484.0,2
HH-0172,6.12,31.6,19.4,1.04,1.38,813.0,1
HH-0073,7.9,35.1,19.7,1.01,1.73,365.0,2
HH-0264,12.9,48.2,18.9,1.15,3.38,2017.0,1
HH-0877,24.9,47.3,24.8,1.2,8.4,4105.0,1
HH-0351,13.43,54.2,9.6,1.12,4.07,1757.0,2
HH-0784,35.74,40.9,24.2,1.19,9.97,5312.0,4
HH-0710,30.4,53.3,28.1,1.18,8.62,4961.0,5
HH-0013,7.94,30.3,16.0,1.11,2.11,1206.0,0
HH-0669,22.01,29.3,38.6,0.83,5.25,3117.0,0
HH-0170,7.34,25.8,20.2,1.04,1.74,1279.0,2
HH-0156,7.19,24.7,19.0,1.2,1.56,1168.0,1
