Product_ID,Annual_Units_Sold,Average_Unit_Price_INR,Annual_Revenue_Lakh_INR,Gross_Margin_Percent,Return_Rate_Percent,Stockout_Days_Per_Year,Supplier_Lead_Time_Days,Average_Customer_Rating
PRD-0660,866,1397.0,12.1,25.7,19.3,6,16,3.46
PRD-0061,1839,432.0,7.94,15.5,5.4,1,10,4.35
PRD-0769,3335,914.0,30.49,33.4,3.7,9,33,4.01
PRD-0136,2812,490.0,13.77,16.1,1.0,4,8,4.31
PRD-0764,3537,805.0,28.47,31.4,6.1,13,28,3.86
PRD-0603,924,1699.0,15.7,24.1,19.8,7,11,3.08
PRD-0372,157,7772.0,12.2,35.0,7.1,0,27,4.17
PRD-0012,1714,438.0,7.51,16.4,3.0,4,13,4.35
PRD-0888,3058,895.0,27.36,30.6,6.2,12,36,3.91
PRD-0618,598,963.0,5.76,30.0,16.2,8,15,3.02
PRD-0507,800,1380.0,11.04,25.4,15.1,3,19,3.22
PRD-0538,1024,1303.0,13.34,26.0,17.4,6,11,3.29
PRD-0723,727,1084.0,7.88,24.1,15.3,4,15,3.24
PRD-0467,154,6891.0,10.61,38.6,7.6,2,24,4.02
PRD-0423,207,5727.0,11.85,37.8,6.7,0,22,4.23
PRD-0087,1801,316.0,5.7,15.2,6.3,4,11,4.39
PRD-0617,543,815.0,4.42,24.4,17.7,10,15,3.42
PRD-0573,889,1276.0,11.35,25.3,17.9,13,14,3.22
PRD-0011,1935,554.0,10.72,15.4,2.9,3,10,4.51
PRD-0616,703,968.0,6.81,21.8,18.9,7,17,3.11
PRD-0928,2407,853.0,20.53,35.8,2.7,14,28,4.09
PRD-0392,142,5589.0,7.94,33.5,7.2,3,24,4.08
PRD-0086,1974,433.0,8.55,14.9,4.2,2,9,4.6
PRD-0433,137,5699.0,7.81,35.1,10.0,0,26,4.25
PRD-0974,3126,541.0,16.92,29.5,8.1,13,29,3.99
PRD-0642,483,1036.0,5.0,19.5,17.4,6,12,3.49
PRD-0046,1597,404.0,6.46,16.7,2.3,7,8,4.37
PRD-0654,739,1294.0,9.57,21.2,18.0,7,15,3.28
PRD-0156,1614,449.0,7.25,15.6,5.4,5,5,4.46
